"naziv_usluge";"maloprodajna_cijena";"posebni_oblik_prodaje";"naziv_posebnog_oblika_prodaje";"sidrena_cijena";"valuta";"obracunska_jedinica";"referentni_datum";"razdoblje_boravka_od";"razdoblje_boravka_do";"oznaka_jedinice"
"Studio za 2 osobe — 21.07.2026. – 20.08.2026.";"50.00";"NE";"";"50.00";"EUR";"smještajna jedinica / noć";"2026-09-10";"2026-07-21";"2026-08-20";"studio2"
"Studio za 2 osobe — 21.08.2026. – 31.08.2026.";"45.00";"NE";"";"45.00";"EUR";"smještajna jedinica / noć";"2026-09-10";"2026-08-21";"2026-08-31";"studio2"
"Studio za 2 osobe — 01.09.2026. – 31.12.2026.";"32.00";"NE";"";"32.00";"EUR";"smještajna jedinica / noć";"2026-09-10";"2026-09-01";"2026-12-31";"studio2"
"Studio apartman 2+1 — 21.07.2026. – 20.08.2026.";"54.00";"NE";"";"54.00";"EUR";"smještajna jedinica / noć";"2026-09-10";"2026-07-21";"2026-08-20";"studio21"
"Studio apartman 2+1 — 21.08.2026. – 31.08.2026.";"50.00";"NE";"";"50.00";"EUR";"smještajna jedinica / noć";"2026-09-10";"2026-08-21";"2026-08-31";"studio21"
"Studio apartman 2+1 — 01.09.2026. – 31.12.2026.";"42.00";"NE";"";"42.00";"EUR";"smještajna jedinica / noć";"2026-09-10";"2026-09-01";"2026-12-31";"studio21"
"Apartman 3+2 — 21.07.2026. – 20.08.2026.";"102.00";"NE";"";"102.00";"EUR";"smještajna jedinica / noć";"2026-09-10";"2026-07-21";"2026-08-20";"apartment32"
"Apartman 3+2 — 21.08.2026. – 31.08.2026.";"84.00";"NE";"";"84.00";"EUR";"smještajna jedinica / noć";"2026-09-10";"2026-08-21";"2026-08-31";"apartment32"
"Apartman 3+2 — 01.09.2026. – 31.12.2026.";"72.00";"NE";"";"72.00";"EUR";"smještajna jedinica / noć";"2026-09-10";"2026-09-01";"2026-12-31";"apartment32"
"Studio apartman 3+2 — 21.07.2026. – 20.08.2026.";"102.00";"NE";"";"102.00";"EUR";"smještajna jedinica / noć";"2026-09-10";"2026-07-21";"2026-08-20";"studio32"
"Studio apartman 3+2 — 21.08.2026. – 31.08.2026.";"84.00";"NE";"";"84.00";"EUR";"smještajna jedinica / noć";"2026-09-10";"2026-08-21";"2026-08-31";"studio32"
"Studio apartman 3+2 — 01.09.2026. – 31.12.2026.";"72.00";"NE";"";"72.00";"EUR";"smještajna jedinica / noć";"2026-09-10";"2026-09-01";"2026-12-31";"studio32"
"Apartman 4+2 — 21.07.2026. – 20.08.2026.";"114.00";"NE";"";"114.00";"EUR";"smještajna jedinica / noć";"2026-09-10";"2026-07-21";"2026-08-20";"apartment42"
"Apartman 4+2 — 21.08.2026. – 31.08.2026.";"105.00";"NE";"";"105.00";"EUR";"smještajna jedinica / noć";"2026-09-10";"2026-08-21";"2026-08-31";"apartment42"
"Apartman 4+2 — 01.09.2026. – 31.12.2026.";"84.00";"NE";"";"84.00";"EUR";"smještajna jedinica / noć";"2026-09-10";"2026-09-01";"2026-12-31";"apartment42"
"Soba za 2 osobe — 21.07.2026. – 20.08.2026.";"38.00";"NE";"";"38.00";"EUR";"smještajna jedinica / noć";"2026-09-10";"2026-07-21";"2026-08-20";"room2"
"Soba za 2 osobe — 21.08.2026. – 31.08.2026.";"35.00";"NE";"";"35.00";"EUR";"smještajna jedinica / noć";"2026-09-10";"2026-08-21";"2026-08-31";"room2"
"Soba za 2 osobe — 01.09.2026. – 31.12.2026.";"30.00";"NE";"";"30.00";"EUR";"smještajna jedinica / noć";"2026-09-10";"2026-09-01";"2026-12-31";"room2"
